timestamp,temp,humidity,mic_peak
1745351412357,31.8,25.6,0
1745351414237,31.9,25.6,0
1745351416262,31.9,36.6,0
1745351418286,31.8,24.3,0
1745351420311,31.9,24.3,296
1745351422337,31.9,25.6,0
1745351424361,31.8,24.3,0
1745351426386,31.8,24.3,0
1745351428412,31.7,24.4,0
1745351430437,31.8,24.3,0
1745351432462,31.8,36.6,0
1745351434487,31.8,24.3,0
1745351436511,31.8,24.3,0
1745351438538,31.8,25.6,0
1745351440561,31.8,25.6,0
1745351442587,31.8,24.3,0
1745351444612,31.8,24.3,0
1745351446637,31.8,24.3,0
1745351448663,31.8,35.3,0
1745351450686,31.8,20,0
1745351452711,31.7,24.4,0
1745351454738,31.9,35.3,0
1745351456764,31.8,24.3,0
1745351458789,31.8,25.6,0
1745351460813,31.4,25.8,0
1745351462839,31.8,24.3,0
1745351464863,31.8,25.6,0
1745351466887,31.8,24.3,0
1745351468912,31.8,35.3,0
1745351470938,31.8,24.3,0
1745351472962,31.8,35.3,0
1745351474987,31.8,24.3,0
1745351477012,31.8,35.3,0
1745351479038,31.8,24.3,0
1745351481062,31.8,25.6,0
1745351483088,31.8,35.3,0
1745351485114,31.8,24.3,0
1745351487137,31.8,24.3,0
1745351489163,31.8,24.3,0
1745351491187,31.8,35.3,0
