timestamp,temp,humidity,mic_peak
1745398025376,27.9,44.2,0
1745398027163,26.6,21.2,0
1745398029211,26.6,29.8,0
1745398031219,26.7,23.8,0
1745398033257,26.7,80.8,0
1745398035261,26.6,33.5,0
1745398037300,26.6,31.2,0
1745398039310,26.6,24.5,0
1745398041357,26.6,23.9,0
1745398043361,26.5,18.8,0
1745398045390,26.5,24.5,0
1745398047436,26.5,18.8,0
1745398049454,26.5,54.1,0
1745398051498,26.5,39,0
1745398053489,26.4,33.5,0
1745398055645,26.4,18.9,0
1745398057584,26.4,27.6,0
1745398059640,26.4,21.4,0
1745398061591,26.4,80.9,328
1745398063626,26.4,31.3,0
1745398065675,26.3,27.2,0
1745398067676,26.3,43.1,0
1745398069726,26.3,20,0
1745398071717,26.3,20,0
1745398073759,26.2,35.1,0
1745398075768,26.2,24.5,0
1745398078026,26.2,26.3,280
1745398080068,26.2,24.1,0
1745398082049,26.2,24.7,0
1745398084149,26.1,20,0
1745398086153,26.1,81,0
1745398088157,26.1,20,0
1745398090161,26.1,43.2,0
1745398092196,26,32.5,0
1745398094200,26,28.6,0
1745398096351,26,27.3,0
1745398098245,26,26.8,0
1745398100275,25.9,26.9,0
1745398102388,25.9,20,0
1745398104335,25.8,33.8,0
