timestamp,temp,humidity,mic_peak
1745472856201,24.2,41.3,0
1745472857588,24.1,33.5,0
1745472859657,24.1,33.9,0
1745472861741,24.2,38.2,0
1745472863815,24.2,39.1,0
1745472865863,24.2,39.1,0
1745472868114,24.2,61.6,0
1745472870182,24.4,62.7,0
1745472872116,24.4,62.9,0
1745472874165,24.4,62.1,0
1745472876210,24.4,60.4,0
1745472878287,24.4,58.3,0
1745472880257,24.4,56.2,0
1745472882340,24.4,54.1,0
1745472884307,24.4,52.3,0
1745472886343,24.4,50.8,0
1745472888535,24.4,49.3,0
1745472890638,24.4,48,0
1745472892599,24.4,46.9,0
