timestamp,temp,humidity,mic_peak
1745463588027,26.6,27.7,0
1745463589826,26.6,27.1,0
1745463592169,26.6,29.5,250
1745463594225,26.6,30.2,146
1745463596286,26.6,29.5,0
1745463598315,26.6,28.6,0
1745463600370,26.7,39.4,0
1745463602367,26.7,38.8,0
1745463604426,26.7,38.3,0
1745463606416,26.7,39.3,0
1745463608455,26.7,40.2,0
1745463610465,26.7,40.3,0
1745463612505,26.7,40.7,0
1745463614514,26.7,40.2,0
1745463616550,26.7,39.6,0
1745463618596,26.7,38.4,0
1745463620611,26.7,38.3,82
1745463622640,26.7,37.9,0
