timestamp,temp,humidity,mic_peak
1745351188103,31.7,25.7,0
1745351189944,32,23.2,0
1745351191969,31.9,24.3,0
1745351193995,31.6,25.7,0
1745351196018,31.9,25.6,0
1745351198046,31.9,25.6,0
1745351200074,32.1,25.5,0
1745351202094,31.9,25.6,0
1745351204120,31.9,35.3,0
1745351206144,31.9,24.3,0
1745351208172,31.9,25.6,0
1745351210195,31.9,24.3,0
1745351212221,31.8,25.6,0
1745351214245,31.9,25.6,0
1745351216270,31.8,25.6,0
1745351218294,31.8,24.3,0
1745351220320,31.8,24.3,0
1745351222346,31.8,24.3,0
1745351224370,31.6,24.4,714
1745351226396,31.8,25.6,0
1745351228420,31.8,24.3,0
1745351230446,31.8,35.3,0
1745351232471,31.8,24.3,0
1745351234496,31.8,25.6,0
1745351236521,31.8,23.3,0
1745351238546,31.8,24.3,0
