timestamp,temp,humidity,mic_peak
1745435325894,32.4,25.4,0
1745435327747,32.5,31.9,0
1745435329781,32.5,31.9,0
1745435332172,32.5,18.8,334
1745435334195,32.5,18.8,0
1745435336211,32.6,18.8,0
1745435338238,32.5,31.9,198
1745435340262,32.5,31.9,0
1745435342287,32.5,23,0
1745435344313,32.5,18.8,0
1745435346339,32.5,31.9,0
1745435350159,32.5,31.9,680
1745435353159,32.5,21.3,702
1745435355206,32.5,31.9,0
1745435357210,32.5,18.8,0
1745435359226,32.5,31.9,0
1745435361265,32.5,18.8,0
1745435363276,32.5,31.9,0
1745435365310,32.5,31.9,0
1745435367329,32.5,18.8,0
1745435369360,32.5,31.9,0
1745435371377,32.5,18.8,0
1745435373410,32.5,23,0
