timestamp,temp,humidity,mic_peak
1745463270104,28.6,25.8,0
1745463271743,28.7,25.3,0
1745463274087,28.9,25.2,82
1745463275795,28.7,27.2,0
1745463277830,28.7,23.2,0
1745463279934,28.6,23.4,0
1745463282187,28.4,23.3,122
1745463286133,28.6,24.3,104
1745463289551,28.6,23.5,184
1745463291545,28.6,39,96
1745463293795,28.6,34.2,816
1745463295858,28.5,39.6,162
1745463297893,28.6,49.7,918
1745463299909,28.6,50,0
1745463301987,28.5,50.4,0
1745463304909,28.5,48.8,104
1745463307022,28.5,42.5,674
1745463309563,28.4,46.8,1144
1745463311837,28.4,47.7,62
1745463314070,28.5,43.8,74
1745463315867,28.3,42.7,122
1745463317871,28.2,40.2,0
1745463319904,28.1,38,0
1745463322052,28.2,52.7,466
1745463324106,28.2,47.9,54
1745463326915,28,44.6,290
1745463329085,28,47.1,184
1745463331340,28,46.4,206
1745463333217,28,46.9,72
