timestamp,temp,humidity,mic_peak
1745240641024,32.7,21.3,0
1745240643073,32.7,18.8,0
1745240645073,32.7,20,0
1745240647121,32.7,21.3,0
1745240649125,32.7,21.3,0
1745240651171,32.7,21.3,0
1745240653174,32.7,18.8,0
1745240655220,32.7,26,0
1745240657225,32.8,21.2,0
1745240659272,32.7,21.3,0
1745240661275,32.7,21.3,0
1745240663322,32.7,31.9,250
1745240665325,32.7,26,0
1745240667370,32.7,31.9,0
1745240669375,32.7,21.3,0
1745240671422,32.7,23,0
1745240673424,32.7,21.3,0
1745240675450,32.7,21.3,0
1745240677476,32.7,36.3,472
