timestamp,temp,humidity,mic_peak
1745435985230,32.3,32,0
1745435988728,32.4,18.9,3926
1745435990761,32.4,25.4,422
1745435992779,32.4,32,0
1745435994812,32.5,42.3,0
1745435996830,32.4,25.4,0
1745435998863,32.4,20,0
1745436000879,32.5,23,0
1745436002911,32.4,25.8,0
1745436005238,32.5,32.6,160
1745436007293,32.5,32.6,0
1745436009291,32.5,20,0
1745436011324,32.8,32.5,0
1745436013338,32.5,25.7,0
1745436015375,32.5,25.7,0
1745436017387,32.5,25.3,0
1745436019441,32.5,23,0
1745436021457,32.5,23,0
1745436023475,32.5,25.7,0
1745436025487,32.5,25.7,0
