timestamp,temp,humidity,mic_peak
1745327724011,32,26.2,152
1745327726036,32,36.5,0
1745327728062,32.2,19,0
1745327730085,32.1,35.2,0
1745327732111,32.2,36.5,0
1745327734136,32.2,35.2,0
1745327736161,32.2,35.2,0
1745327738187,32.3,36.4,0
1745327740209,32.3,35.1,0
1745327742238,32.3,36.4,0
1745327744261,32.4,26.1,0
1745327746286,32.6,36.3,0
1745327748310,32.4,36.4,0
1745327750336,32.4,35.1,0
1745327752363,32.4,36.4,190
1745327754389,32.4,35.1,0
1745327756413,32.5,35,0
1745327758438,32.4,36.4,0
1745327760467,32.5,36.3,0
1745327762489,32.5,35,0
1745327764514,32.5,36.3,0
1745327766539,32.5,36.3,0
1745327768563,32.5,25.3,0
1745327770589,32.5,35,0
1745327772613,32.5,35,0
1745327774639,32.5,31.9,0
1745327776665,32.6,31.9,0
1745327778689,32.6,21.3,0
1745327780715,32.6,18.8,1472
1745327782741,32.6,18.8,0
1745327784768,32.6,26,0
1745327786792,32.6,21.3,0
1745327788818,32.7,26,0
1745327790842,32.6,36.3,0
1745327792867,32.8,22.9,0
