timestamp,temp,humidity,mic_peak
1745436995480,32,42.5,0
1745436997284,32.2,42.5,0
1745436999300,32.3,25.4,0
1745437001328,32.2,42.5,0
1745437003350,32.2,20,488
1745437005375,32.3,25.8,0
1745437007451,32.2,21.1,0
1745437009428,32.3,25.5,0
1745437011451,32.3,27.5,0
1745437013481,32.3,20,0
1745437015502,32.4,31.1,0
1745437017527,32.3,27.5,0
1745437019598,31.9,20,0
1745437021626,32.3,25.5,0
1745437023601,32.4,22.7,0
1745437025626,32.5,20,0
1745437027651,32.4,22.7,0
1745437029676,32.4,21,0
1745437031708,32.4,20,544
1745437033729,32.4,20,0
1745437035754,32.4,22.7,0
1745437037778,32.4,20,0
1745437039802,32.4,20,0
1745437041828,31.9,27.7,0
1745437043854,32.4,20,0
1745437045879,32.4,32.7,0
1745437047904,32.5,20.9,0
1745437049928,32.5,20,0
1745437051955,32.5,20,0
1745437053978,32.5,25.3,0
1745437056004,32.5,20,0
1745437058029,32.5,25.7,0
1745437060055,32.5,20.9,162
1745437062079,32.5,32.6,0
1745437064105,32.5,32.6,0
