timestamp,temp,humidity,mic_peak
1745437532771,32,20,0
1745437534793,32,23.2,0
1745437536849,32,20,0
1745437538843,32.1,20,0
1745437540872,32.5,20,0
1745437542893,32.2,42.5,0
1745437544922,32.2,20,0
1745437546944,32.2,20,0
1745437548972,32.2,23.2,0
1745437551151,32.3,23.1,488
1745437553150,32.4,23.1,0
1745437556658,32.3,23.1,482
1745437558649,32.3,20,0
1745437560674,32.3,23.1,0
1745437562698,32.3,20,0
1745437564723,32.4,25.8,0
1745437566751,32.4,20,0
1745437568774,32.4,25.8,0
1745437570798,32.2,25.5,0
1745437572823,32.4,23.1,0
1745437574848,32.4,23.1,0
1745437576874,32.4,23.1,0
1745437578899,32.5,20,0
1745437582138,32.4,20,210
1745437585131,32.5,25.7,152
1745437587163,32.4,25.5,0
1745437589180,32.4,20,0
1745437591215,32.4,23.1,0
1745437593230,32.4,20,0
1745437595266,32.5,42.3,174
1745437597281,32.4,20,0
1745437599314,32.3,20,0
1745437601332,32.4,23.1,0
